model,raw_score,quantization_score,final_score
A2,0.4758928571428571,0.04000000000000001,77.88746935332102
A2,0.4579378571428571,0.04000000000000001,74.9488467384851
A2,0.4584628571428571,0.04000000000000001,75.0347713763458
A2,0.47619285714285714,0.04000000000000001,77.93656914638429
A2,0.4793278571428571,0.04000000000000001,78.4496619838953
A2,0.4754428571428571,0.04000000000000001,77.81381966372614
RTX_6000_ADA,0.5234435714285713,0.2,98.84988860551893
RTX_6000_ADA,0.4979285714285714,0.2,94.03149929779204
RTX_6000_ADA,0.4934285714285714,0.2,93.1816951870818
RTX_6000_ADA,0.47685357142857143,0.2,90.0515833792992
RTX_6000_ADA,0.4739285714285714,0.2,89.49921070733757
RTX_6000_ADA,0.4664287214285714,0.2,88.08289884962421
RTX_6000_ADA,0.4653935714285714,0.2,87.88741557735719
RTX_6000_ADA,0.4624087214285714,0.2,87.3237405107231
RTX_6000_ADA,0.4589285714285714,0.2,86.66653033830352
RTX_6000_ADA,0.4575785714285714,0.2,86.41158910509044
RTX_6000_ADA,0.4560487214285714,0.2,86.12268403425264
RTX_6000_ADA,0.4514287214285714,0.2,85.25021848059016
RTX_6000_ADA,0.4424285714285714,0.2,83.55058193236606
RTX_6000_ADA,0.4307285714285714,0.2,81.3410912445195
RTX_6000_ADA,0.4214285714285714,0.2,79.58482941571839
RTX_6000_ADA,0.4214285714285714,0.2,79.58482941571839
RTX_A2000_12GB,0.31350015,0.020000000000000004,50.32259083367294
RTX_A2000_12GB,0.31350015,0.020000000000000004,50.32259083367294
RTX_A2000_12GB,0.312525,0.020000000000000004,50.16606116550067
RTX_A2000_12GB,0.311415,0.020000000000000004,49.98788557028844
RTX_A2000_12GB,0.31020015,0.020000000000000004,49.79287960466358
RTX_A2000_12GB,0.3137508,0.020000000000000004,50.36282480929452
RTX_A2000_12GB,0.31333455,0.020000000000000004,50.296008961089925
RTX_A2000_12GB,0.31566,0.020000000000000004,50.66928683305958
RTX_A2000_12GB,0.317625,0.020000000000000004,50.98470579215151
RTX_A2000_12GB,0.31529999999999997,0.020000000000000004,50.611500153531274
RTX_A2000_12GB,0.310515,0.020000000000000004,49.8434188714677
RTX_A2000_12GB,0.31215,0.020000000000000004,50.1058667076587
RTX_A2000_12GB,0.314325,0.020000000000000004,50.454994563142165
A100_40GB_PCIE,0.0,0.0,0.0
A100_40GB_PCIE,0.0,0.0,0.0
A100_40GB_PCIE,0.0,0.0,0.0
A100_40GB_PCIE,0.0,0.0,0.0
A100_40GB_PCIE,0.0,0.0,0.0
A100_40GB_PCIE,0.0,0.0,0.0
L4,0.47169657857142855,0.06,78.68530980863329
L4,0.47133642857142855,0.06,78.62523196279984
L4,0.45858642857142856,0.06,76.49836111905012
L4,0.46232142857142855,0.06,77.12140916621915
L4,0.46232142857142855,0.06,77.12140916621915
L4,0.47753142857142855,0.06,79.65864097276295
L4,0.47225892857142854,0.06,78.77911732384763
L4,0.47849142857142857,0.06,79.81878183629235
L4,0.4705864285714285,0.06,78.5001219131675
L4,0.47732142857142856,0.06,79.6236101588659
L4,0.4731964285714286,0.06,78.93550488588805
L4,0.42437142857142857,0.06,70.7908406548229
L4,0.39608142857142853,0.06,66.07168958269115
L4,0.39145977857142855,0.06,65.30073643484677
L4,0.3879515785714286,0.06,64.71552166668656
L4,0.4386215785714286,0.06,73.16795661984725
L4,0.35957142857142854,0.06,59.98133236658898
L4,0.47987142857142856,0.06,80.04898432761584
L4,0.47657142857142853,0.06,79.49850010923355
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
A800_40GB,0.4607142857142857,0.2,87.00375419175995
